topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
4,2,4,large,1,3g,4,2,4g,0.8,0.3,true,true,128k,12m,false,48m,snappy,192,false,32.315,0
4,2,4,large,2,2g,3,2,2g,0.7,0.7,true,true,128k,6m,true,48m,snappy,128,true,26.476,0
4,2,4,large,2,4g,4,4,2g,0.5,0.8,false,false,64k,12m,false,88m,snappy,192,false,27.5435,0
4,2,4,large,2,3g,3,4,4g,0.7,0.7,false,true,48k,22m,true,48m,snappy,192,true,26.8735,0
4,2,4,large,2,3g,3,2,3g,0.4,0.7,false,false,48k,4m,false,88m,snappy,256,true,27.409,0
4,2,4,large,1,1g,3,1,1g,0.7,0.4,true,false,128k,4m,true,56m,snappy,224,false,34.189,0
4,2,4,large,1,4g,3,4,3g,0.5,0.4,true,false,112k,14m,false,72m,snappy,192,true,32.788,0
4,2,4,large,1,4g,2,1,2g,0.8,0.8,false,false,128k,6m,true,48m,snappy,192,false,32.674,0
4,2,4,large,2,3g,3,4,2g,0.4,0.6,true,false,96k,10m,true,80m,lz4,224,true,27.1115,0
4,2,4,large,1,1g,3,4,1g,0.4,0.8,false,false,64k,8m,false,80m,lz4,128,false,33.7755,0
4,2,4,large,2,3g,3,1,3g,0.3,0.6,false,false,80k,20m,true,80m,lz4,192,true,27.244,0
