timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
3448,17.430455245534763,3,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,1,0,1,0,snappy
3449,17.430455245534763,3,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,1,0,1,0,snappy
3450,17.430455245534763,3,2,3,0.6,0.7,224,4096.0,3072.0,96.0,14.0,48.0,1,0,1,0,snappy
3451,17.548475825771146,3,3,3,0.6,0.6,192,5120.0,3072.0,96.0,14.0,72.0,1,1,1,1,snappy
3452,17.548475825771146,3,3,3,0.6,0.5,192,5120.0,3072.0,96.0,14.0,72.0,1,1,1,1,snappy
3453,17.56139314128742,3,3,3,0.6,0.5,192,5120.0,3072.0,96.0,14.0,80.0,1,1,1,1,snappy
3454,17.574463087275074,3,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,1,1,1,snappy
3455,17.572361210692293,3,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,1,1,1,lz4
3456,19.020154844474316,2,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,1,1,1,lz4
3457,19.020154844474316,2,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,1,1,1,lz4
3458,19.03363710408071,2,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
3459,19.03363710408071,2,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
3460,19.03363710408071,2,3,3,0.6,0.5,192,5120.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
3461,19.644011451049327,2,3,3,0.6,0.5,192,6144.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
3462,19.644011451049327,2,3,3,0.5,0.5,192,6144.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
3463,17.56520385839952,3,3,3,0.5,0.5,192,6144.0,3072.0,96.0,12.0,80.0,1,0,1,1,lz4
3464,17.56520385839952,3,3,3,0.5,0.5,192,6144.0,3072.0,80.0,12.0,80.0,1,0,1,1,lz4
3465,17.56520385839952,3,3,3,0.5,0.5,192,6144.0,3072.0,80.0,12.0,80.0,1,0,1,1,lz4
3466,17.56520385839952,3,3,3,0.5,0.6,192,6144.0,3072.0,80.0,12.0,80.0,1,0,1,1,lz4
3467,17.54482666383483,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,12.0,80.0,1,0,1,1,lz4
3468,17.52109593926105,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,12.0,80.0,1,0,1,0,lz4
3469,17.52109593926105,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,12.0,80.0,1,0,1,0,lz4
3470,17.54615615720668,3,3,3,0.5,0.6,224,6144.0,2048.0,80.0,12.0,80.0,1,0,1,0,lz4
3471,17.545055539922735,3,3,3,0.5,0.6,224,6144.0,2048.0,80.0,14.0,80.0,1,0,1,0,lz4
3472,17.5199953219771,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3473,17.5199953219771,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3474,17.3392843314388,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3475,17.3392843314388,3,3,3,0.5,0.6,224,6144.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3476,17.335869979586946,3,3,3,0.5,0.6,256,6144.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3477,17.446951031174248,3,3,3,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3478,17.622848364305142,3,3,3,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3479,17.576793521064534,3,3,2,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3480,17.576793521064534,3,3,2,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3481,17.622848364305142,3,3,3,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3482,17.576793521064534,3,3,2,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3483,17.576793521064534,3,3,2,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3484,17.576793521064534,3,3,2,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,1,0,1,0,lz4
3485,17.40089618793364,3,3,2,0.5,0.6,256,7168.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3486,17.40089618793364,3,3,2,0.5,0.7,256,7168.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3487,17.289815136346338,3,3,2,0.5,0.7,256,6144.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3488,15.92791690391656,4,3,2,0.5,0.7,256,6144.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3489,15.932307721817795,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
3490,15.932307721817795,4,3,2,0.5,0.7,256,5120.0,3072.0,80.0,14.0,80.0,0,0,1,0,lz4
